Time,bitbay,bitfinex,bitstamp,btcmarkets,cex.io,coinbase,gemini,korbit,kraken,others
2021-08-21 00:00:00 UTC,602.47063144,3586.34820241013,3264.21991704,77.0457495,139.65515108,10224.6648005399,1180.3135109949,140.472857445406,14091.31905141,285.54791822
2021-08-22 00:00:00 UTC,401.92859387,2746.26233872007,1696.6633972,88.12761306,104.90601235,7236.65958525998,735.765487639801,109.680439629143,3180.24001225,213.33650631999998
2021-08-23 00:00:00 UTC,740.06178549,5419.01532415014,3590.89143185,135.35144813,172.17841498,12421.9437906999,1268.6857022584,216.599394362902,6120.50822469,347.83278420000005
2021-08-24 00:00:00 UTC,692.22794548,4771.2967785801,3406.81086008,126.44193832,162.32874108,14357.6248605399,1331.9469230444,268.321624055758,6152.70293626,353.65884382999997
2021-08-25 00:00:00 UTC,590.17932658,4118.28416623014,2709.4674899,160.16124725,161.21926545,11173.7602073199,1636.3676033537,198.417917898546,4673.25473015,324.35661052
2021-08-26 00:00:00 UTC,516.12148821,6478.62754949004,4052.92282312,116.45124078,220.64662346,13996.8967184,2202.03028335861,181.843589775187,7216.75499645,399.36943046
2021-08-27 00:00:00 UTC,441.17412134,5795.67577606017,2940.77940153,108.79751782,182.71306775,10475.11655173,1544.9548860675,185.476496919475,4907.47943991,303.6456423499999
2021-08-28 00:00:00 UTC,280.73195566,2299.91435801005,1079.67240573,55.98836351,78.28370672,5758.53368096,458.1478815425,120.661151970212,2296.70666197,178.4454900699999
2021-08-29 00:00:00 UTC,374.71386513,4045.62924180012,1564.30552902,56.936123,138.97202037,7903.70299236997,435.9247778606,142.624296587692,3304.06536669,195.9548936099998
2021-08-30 00:00:00 UTC,515.24855089,4123.21806370011,2579.40224957,87.9793515,148.07045257,13674.5256688299,964.130237242302,157.930707065307,4630.88605507,322.55864412999995
2021-08-31 00:00:00 UTC,615.61834967,4300.98332549013,3193.71189341,128.82876146,171.35813521,14899.0020035799,956.068367053202,227.138169596033,5044.00467933,339.3041959
2021-09-01 00:00:00 UTC,675.96010088,5707.34399335008,3044.68077376,111.06271554,168.18251944,15260.4443941299,1119.2360334149,198.927131795905,5307.71638863,348.4498117
2021-09-02 00:00:00 UTC,643.91731165,4951.83314345013,3552.24787985,127.26144141,184.05560861,16323.2317888699,908.378292554301,190.376464216986,6163.73148625,421.04115235
2021-09-03 00:00:00 UTC,628.27436188,7333.43101828014,3398.10449974,105.9483562,251.57905796,17092.0229302698,1080.8776093132,250.306296641767,6668.19733973,383.19611435
2021-09-04 00:00:00 UTC,381.4903549,2368.74358570005,1321.65202621,95.91114382,112.90643766,9721.47067035996,1218.4607234875,131.341056180512,2859.99727668,190.2724728800001
2021-09-05 00:00:00 UTC,354.11576958,5538.44466304003,1456.30579401,85.85984709,145.54271331,9477.31391022996,1056.2500981699,183.440751363293,3460.49153948,248.22329892000002
2021-09-06 00:00:00 UTC,594.30268247,4838.96422930999,2767.33184215,128.47919973,125.09121461,11420.5138200299,1408.9161649687,146.365218042727,5417.54855457,311.6485018
2021-09-07 00:00:00 UTC,1073.0316395,16682.0951703301,10587.8658428399,432.38197615,769.34275077,31030.6973768496,4456.64126715548,372.734432619572,17039.2136661701,931.62277907
2021-09-08 00:00:00 UTC,565.61146787,7552.70198828012,5063.58685684999,268.76073245,361.60625429,24126.5661111396,2406.65017393951,273.597599399054,7759.95238889,492.14007009
2021-09-09 00:00:00 UTC,831.09708571,3852.88472476015,3442.6180035,185.23004055,164.34232836,16544.0992820698,1622.0371175569,225.035723867869,4972.59441151001,325.15192803
2021-09-10 00:00:00 UTC,700.34205726,5180.69123789005,4132.79632052,145.47349037,210.30636436,17625.6655371998,1785.52196001049,199.553245720727,6821.511916,393.75240393
2021-09-11 00:00:00 UTC,288.68803973,2544.93143703002,1291.2529263,63.74801303,90.18604604,7642.01288641,748.9395707617,104.775576338716,2460.09890147,176.73927139
2021-09-12 00:00:00 UTC,355.65776299,3387.93571427007,1522.4445641,57.84042219,110.39867388,7975.09102215997,671.749661412502,134.005726741411,2303.13218299,176.5580346899999
2021-09-13 00:00:00 UTC,669.32105834,8764.50737243952,3983.13392736,132.98253991,313.92946087,18297.2345002499,2493.12151607556,179.500475871403,7365.88172745999,428.4999829000001
2021-09-14 00:00:00 UTC,435.46370466,3522.21824469012,2492.51763593,107.55151365,158.08322516,14865.2390832099,1587.5717602047,160.097992348676,4476.65417271,353.49252879999995
2021-09-15 00:00:00 UTC,391.15737621,3983.77377579011,2171.95525998,86.21073541,116.88194878,14189.6372381199,1313.6514462559,104.686382421286,4203.79461419,343.14275659
2021-09-16 00:00:00 UTC,532.27356599,3605.77089371015,2756.27919706,152.10308916,126.5608745,13805.2989379399,1066.6408262966,137.384506807581,4945.33947435,295.6339051
2021-09-17 00:00:00 UTC,481.59972527,2490.38800202006,2329.30687429,66.23503066,111.98614562,10709.55631448,1218.3641646329,116.42986974142,3991.45385481,285.11794878000006
2021-09-18 00:00:00 UTC,501.6250264,2046.81573251004,1957.85802124,70.97850984,82.02909959,8873.30792764998,759.8461111316,82.0417899510569,2280.00168685,227.81416041
2021-09-19 00:00:00 UTC,370.7201478,2277.38102398004,1417.17347417,52.4071968,89.25143224,8321.53372016999,548.101143352601,79.7764427519041,2493.80636641,201.26260587000002
